feature,PC1_loading
Left PO parietal operculum_Vwm,0.10487074922343433
Left SCA subcallosal area_Vwm,0.10444805174461042
Left MFC medial frontal cortex_Vwm,0.10395350226417252
Right PoG postcentral gyrus_Vwm,0.10271212282683853
Right SMG supramarginal gyrus_Vwm,0.10103585579150155
Right SFG superior frontal gyrus_Vwm,0.10095761500411533
Left SMC supplementary motor cortex_Vwm,0.10086004809067528
Left MSFG superior frontal gyrus medial segment_Vwm,0.10025096177861868
Left SPL superior parietal lobule_Vwm,0.09963785260123377
Right PrG precentral gyrus_Vwm,0.09902166730035677
