feature,PC1_loading
Left PO parietal operculum,0.12766208862298584
Right PoG postcentral gyrus,0.12642184628602635
Left PP planum polare,0.12466324928405151
Left SCA subcallosal area,0.12128372928635117
Left AOrG anterior orbital gyrus,0.12126753435692157
Right PrG precentral gyrus,0.1201256957935762
Left SOG superior occipital gyrus,0.11930508163967234
Left SMC supplementary motor cortex,0.11859567916783623
Right SPL superior parietal lobule,0.11857702779046554
Left MFC medial frontal cortex,0.1170167118264748
