feature,PC1_loading
Left Cerebellum White Matter,0.14035596908789494
Right Cerebral White Matter,0.13584534938887696
Left SFG superior frontal gyrus,0.1331615739818237
Left PCgG posterior cingulate gyrus,0.13186378664087028
Left POrG posterior orbital gyrus,0.13161033277674064
Left MPrG precentral gyrus medial segment,0.131032236043296
Left MFC medial frontal cortex,0.1309891625560943
Left SPL superior parietal lobule,0.13074073923436724
Left STG superior temporal gyrus,0.13064590013868388
Left PP planum polare,0.12941206498228697
