feature,PC1_loading
Left PCgG posterior cingulate gyrus,0.14772691333328497
Left Cerebellum White Matter,0.14345961053466222
Right Cerebral White Matter,0.1421646827333557
Left SOG superior occipital gyrus,0.1410630696581199
Right LiG lingual gyrus,0.1387524037872651
Right PoG postcentral gyrus,0.13629591949542896
Left AOrG anterior orbital gyrus,0.13481556148158588
Left PP planum polare,0.13381950489590863
Left ACgG anterior cingulate gyrus,0.1301722802124552
Right SPL superior parietal lobule,0.12638996165268299
