Subject,PC1
NT017,-3.331534102934056
NT054,-3.331534102934056
NT102,-3.331534102934056
NT043,-3.0191365420072107
NT090,-3.0191365420072107
NT020,-3.0191365420072107
NT117,-2.8925930252472076
NT138,-2.850831273735003
CT038,-2.711926049062106
CT010,-2.6433779875492736
NT019,-2.537668248356428
NT008,-2.5376682483564275
CT058,-2.519629061585477
CT040,-2.519629061585477
NT056,-2.46541748703504
NT010,-2.4654174870350394
NT105,-2.407960734300802
NT003,-2.1861238024657776
NT061,-2.1044030935252547
NT046,-2.0842772399576512
CT041,-2.0614935796420095
CT056,-1.9778595767652503
NT092,-1.9623462886373009
CT065,-1.95391404247176
CT023,-1.9305030832855499
NT100,-1.921746411102946
NT103,-1.8430655269337897
NT125,-1.8260912535812432
NT042,-1.8158079827176554
CT027,-1.812868682257147
NT093,-1.7936257292481375
NT122,-1.7915978586126526
NT025,-1.7888539523833527
NT137,-1.7833424583845492
NT039,-1.7712573600494512
CT028,-1.7542830866969048
NT110,-1.74456785823053
NT119,-1.6775041648908828
NT083,-1.672277377638845
NT091,-1.6554003242075772
NT126,-1.6434345711589344
CT022,-1.6284462938732742
CT016,-1.6005089300248034
NT045,-1.58004130320502
NT123,-1.54878207618995
NT135,-1.5446760345949462
NT030,-1.4897179151378148
CT031,-1.4730680678023311
NT089,-1.4402966578508871
NT094,-1.3524727108998675
NT059,-1.3438559394763483
NT001,-1.3262652333673053
CT029,-1.3108950294136001
NT070,-1.247403007355331
NT040,-1.2233143275914646
CT034,-1.1543580310764852
NT063,-1.1282383469912913
CT042,-1.116323360844783
NT023,-1.0735510217194033
CT004,-1.0341269901154833
NT116,-1.0014182206534923
NT142,-0.9899996958396783
NT011,-0.9706001159435632
NT034,-0.9024781656776927
CT043,-0.8979500051930579
CT020,-0.7637574456183226
CT032,-0.7095779316620927
NT013,-0.6564679345717674
NT028,-0.6235096104496474
NT067,-0.5784967783702498
CT037,-0.4776617402021476
NT085,-0.4299096896798885
CT015,-0.41618059451114264
CT002,-0.3772815751521151
CT033,-0.35395253350864797
NT016,-0.3306450005225163
NT027,-0.2796851671417747
NT026,-0.27453146360894515
CT012,-0.27218552177778416
CT050,-0.0902131229190268
CT026,-0.05323239693114421
NT139,-0.04219295335501325
NT124,0.0334931347249794
NT074,0.2348534533834662
NT006,0.321131055969512
NT097,0.3805902218895161
NT052,0.6038255470863234
NT024,0.6273300429451465
NT058,0.636169963096444
NT080,0.6368329667403086
NT005,0.6545948606409951
CT066,0.7010451489443347
CT021,0.7546334218807352
CT053,0.763052358672431
NT140,0.8067482809325018
NT053,0.8716923549539867
NT035,0.8716923549539867
CT061,0.9314997298888058
CT003,0.9485675240232898
NT088,0.9864586766586599
NT136,1.0906653147629346
NT057,1.1930119402326254
NT096,1.2436929186332961
NT131,1.3933449946772931
NT033,1.4001711153960223
NT077,1.4008553989595733
NT106,1.4220814845474543
NT002,1.6895992400083464
CT039,1.7072868738223455
CT018,1.7888366637998299
CT051,1.9110445324914638
CT046,1.9323877365310118
NT055,2.012193610795794
CT013,2.0209307974573987
CT062,2.060521096345408
CT005,2.10422900028169
CT044,2.1213021645646823
NT081,2.2411046347966916
NT118,2.2556889329548504
NT060,2.4356020803991254
NT134,2.5168425518755426
CT007,2.6825751634823662
NT069,2.754315661749637
CT025,2.8292061707662715
NT036,3.17901905645922
NT022,3.1824289281498235
NT015,3.1929824687138417
CT017,3.2581320966312872
NT066,3.3443437974181727
NT048,3.4548213072598077
CT008,3.465162078774377
NT049,3.703593875285872
NT132,3.9773194766940128
NT082,3.9800411091387184
CT024,4.229613258610663
NT047,4.302621794590834
NT018,4.361668415122522
NT129,4.526835248159073
NT065,6.356222004534425
NT007,6.360252332864355
CT030,6.422286419213224
