dataset,pc,rank_within_dataset,feature,loading,abs_loading
1st trimester,1,1,t1_GAD7_3,0.29100440676216016,0.29100440676216016
1st trimester,1,2,t1_GAD7_4,0.29003185985917523,0.29003185985917523
1st trimester,1,3,t1_GAD7_1,0.2890017047560026,0.2890017047560026
1st trimester,1,4,t1_PHQ_2,0.2736400731835237,0.2736400731835237
1st trimester,1,5,t1_GAD7_6,0.2548390819215797,0.2548390819215797
1st trimester,1,6,t1_PHQ_8,0.2541851688700855,0.2541851688700855
1st trimester,1,7,t1_GAD7_2,0.24692715653850406,0.24692715653850406
1st trimester,1,8,t1_PHQ_7,0.24068767217200546,0.24068767217200546
1st trimester,1,9,t1_PHQ_10,0.23863058956691574,0.23863058956691574
1st trimester,1,10,t1_PHQ_1,0.23831677225094225,0.23831677225094225
1st trimester,1,11,t1_PHQ_5,0.2374261257548796,0.2374261257548796
1st trimester,1,12,t1_PHQ_3,0.22800351090710969,0.22800351090710969
1st trimester,1,13,t1_PHQ_4,0.22294529661329474,0.22294529661329474
1st trimester,1,14,t1_GAD7_7,0.2218717074345688,0.2218717074345688
1st trimester,1,15,t1_PHQ_6,0.21412146195149756,0.21412146195149756
2nd trimester,1,1,t2_GAD7_4,0.3210265932770537,0.3210265932770537
2nd trimester,1,2,t2_GAD7_1,0.31527321473878195,0.31527321473878195
2nd trimester,1,3,t2_GAD7_3,0.30694950035123025,0.30694950035123025
2nd trimester,1,4,t2_PHQ_2,0.30040943625094924,0.30040943625094924
2nd trimester,1,5,t2_GAD7_2,0.29604198287930966,0.29604198287930966
2nd trimester,1,6,t2_PHQ_4,0.2703306719938155,0.2703306719938155
2nd trimester,1,7,t2_GAD7_6,0.26037669313656997,0.26037669313656997
2nd trimester,1,8,t2_PHQ_6,0.2365895021872512,0.2365895021872512
2nd trimester,1,9,t2_PHQ_10,0.2309831313735371,0.2309831313735371
2nd trimester,1,10,t2_PHQ_9,0.22122902666642266,0.22122902666642266
2nd trimester,1,11,t2_GAD7_5,0.21502238575346164,0.21502238575346164
2nd trimester,1,12,t2_PHQ_7,0.2129214570120382,0.2129214570120382
2nd trimester,1,13,t2_PHQ_8,0.21199832734420299,0.21199832734420299
2nd trimester,1,14,t2_GAD7_7,0.20223558785782472,0.20223558785782472
2nd trimester,1,15,t2_PHQ_3,0.18151061875137578,0.18151061875137578
3rd trimester,1,1,t3_GAD7_1,0.3190958773739215,0.3190958773739215
3rd trimester,1,2,t3_GAD7_4,0.3016896278529534,0.3016896278529534
3rd trimester,1,3,t3_GAD7_2,0.28388660858187953,0.28388660858187953
3rd trimester,1,4,t3_GAD7_3,0.2835498376283223,0.2835498376283223
3rd trimester,1,5,t3_PHQ_7,0.2744153320297968,0.2744153320297968
3rd trimester,1,6,t3_PHQ_2,0.26914221627311374,0.26914221627311374
3rd trimester,1,7,t3_PHQ_6,0.2677125855371666,0.2677125855371666
3rd trimester,1,8,t3_PHQ_10,0.25808303373952385,0.25808303373952385
3rd trimester,1,9,t3_PHQ_1,0.2562445078460647,0.2562445078460647
3rd trimester,1,10,t3_PHQ_8,0.22750076420475904,0.22750076420475904
